h3_cell,h3_center_lat,h3_center_lon
883874a2adfffff,36.717889,4.624386
883874a417fffff,36.711322,4.818367
883874a425fffff,36.688145,4.769918
883874a427fffff,36.686592,4.780091
883874a433fffff,36.696625,4.814489
883874a43bfffff,36.704751,4.811339
883874a4e1fffff,36.701639,4.831695
883874a4e5fffff,36.695069,4.824666
883874a4e9fffff,36.709766,4.828546
883874a4edfffff,36.703196,4.821517
883874a511fffff,36.673448,4.76605
883874a513fffff,36.671895,4.776221
883874a519fffff,36.681572,4.762898
883874a51bfffff,36.68002,4.77307
883874a549fffff,36.695892,4.71906
883874a54bfffff,36.694345,4.729231
883874a56dfffff,36.66805,4.701178
883874a5cdfffff,36.678467,4.783242
883874a693fffff,36.763878,4.87464
883874a697fffff,36.757309,4.867601
883874a723fffff,36.704013,4.715904
883874a731fffff,36.709039,4.733092
883874a735fffff,36.702466,4.726076
883874a737fffff,36.700918,4.736247
883874a73dfffff,36.710586,4.72292
883874a813fffff,36.54464,4.558091
883874a821fffff,36.521398,4.509896
883874a823fffff,36.519861,4.520033
883874a827fffff,36.513281,4.513058
883874a82bfffff,36.527978,4.516871
883874a835fffff,36.518323,4.530171
883874a83dfffff,36.526441,4.52701
883874a8c1fffff,36.549678,4.575218
883874a8c5fffff,36.5431,4.568234
883874a8c7fffff,36.541559,4.578378
883874a8cdfffff,36.551219,4.565074
883874a8e9fffff,36.536521,4.561251
883874a8ebfffff,36.53498,4.571393
883874a911fffff,36.50012,4.499111
883874a913fffff,36.498583,4.509246
883874a917fffff,36.492003,4.502274
883874a91bfffff,36.506701,4.506084
883874a923fffff,36.473797,4.471236
883874a931fffff,36.478842,4.488333
883874a935fffff,36.472261,4.481365
883874a937fffff,36.470724,4.491495
883874a93dfffff,36.480378,4.478202
883874a9adfffff,36.466108,4.521889
883874a9c5fffff,36.497046,4.519381
883874a9c9fffff,36.511744,4.523195
883874a9cdfffff,36.505164,4.51622
883874a9e5fffff,36.475767,4.508597
883874a9e7fffff,36.474228,4.518729
883874a9e9fffff,36.490466,4.512407
883874aa91fffff,36.592227,4.596852
883874aa99fffff,36.600345,4.593693
883874aa9bfffff,36.598805,4.603844
883874aa9dfffff,36.593767,4.586702
883874aad3fffff,36.608463,4.590532
883874aad7fffff,36.601885,4.583541
883874ac11fffff,36.570557,4.739013
883874ac13fffff,36.569001,4.749171
883874ac17fffff,36.562428,4.742163
883874ac1bfffff,36.577129,4.746021
883874ac89fffff,36.564329,4.779648
883874ac8dfffff,36.557757,4.772636
883874acc1fffff,36.574017,4.76634
883874acc3fffff,36.572459,4.776501
883874acc5fffff,36.567445,4.75933
883874acc7fffff,36.565887,4.769489
883874accdfffff,36.575574,4.756181
883874ace9fffff,36.560872,4.75232
883874acebfffff,36.559315,4.762478
883874ad03fffff,36.519517,4.672847
883874ad0bfffff,36.527643,4.669694
883874ad11fffff,36.52454,4.689993
883874ad15fffff,36.517965,4.682995
883874ad19fffff,36.532667,4.686841
883874ad1dfffff,36.526092,4.679843
883874ad57fffff,36.534218,4.676691
883874ad91fffff,36.513647,4.761052
883874ad93fffff,36.512087,4.771205
883874ad97fffff,36.505515,4.764198
883874ad9bfffff,36.520219,4.768059
883874ae09fffff,36.632084,4.686465
883874ae0dfffff,36.625509,4.67946
883874ae13fffff,36.625887,4.727114
883874ae17fffff,36.619314,4.720104
883874ae41fffff,36.641751,4.673148
883874ae43fffff,36.640205,4.68331
883874ae45fffff,36.635176,4.666144
883874ae47fffff,36.63363,4.676305
883874ae69fffff,36.628601,4.659142
883874ae6bfffff,36.627055,4.669301
883874ae6dfffff,36.622025,4.65214
883874aeb1fffff,36.59529,4.777218
883874aeb3fffff,36.593732,4.787381
883874aeb5fffff,36.588718,4.770204
883874aeb7fffff,36.587161,4.780366
883874aeb9fffff,36.603419,4.774069
883874aebbfffff,36.601862,4.784233
883874aebdfffff,36.596847,4.767055
883874aec5fffff,36.624336,4.737277
883874aee1fffff,36.609637,4.733418
883874aee9fffff,36.617762,4.730266
883874aeebfffff,36.61621,4.740429
883874aeedfffff,36.611189,4.723257
883874b48dfffff,36.831201,4.733474
883874b4c5fffff,36.840856,4.720128
883874b4c7fffff,36.839315,4.730314
883874b4e1fffff,36.826168,4.716263
883874b4e3fffff,36.824627,4.726448
883874b4e9fffff,36.834282,4.713103
883874b4ebfffff,36.832742,4.723288
883874c001fffff,36.442352,3.760691
883874c005fffff,36.435749,3.753819
883874c009fffff,36.450427,3.757485
883874c00dfffff,36.443824,3.750614
883874c011fffff,36.446007,3.787721
883874c013fffff,36.444532,3.7978
883874c015fffff,36.439405,3.780846
883874c017fffff,36.437931,3.790924
883874c019fffff,36.454083,3.784517
883874c01bfffff,36.452609,3.794597
883874c01dfffff,36.447481,3.777642
883874c025fffff,36.414468,3.743286
883874c029fffff,36.429146,3.74695
883874c02dfffff,36.422543,3.740081
883874c031fffff,36.424727,3.777176
883874c033fffff,36.423251,3.787252
883874c037fffff,36.41665,3.780379
883874c03bfffff,36.431329,3.784049
883874c045fffff,36.453368,3.737331
883874c047fffff,36.451898,3.747408
883874c053fffff,36.462159,3.781313
883874c057fffff,36.455557,3.774437
883874c05bfffff,36.470234,3.778108
883874c061fffff,36.438691,3.733669
883874c063fffff,36.437221,3.743744
883874c065fffff,36.432088,3.726801
883874c067fffff,36.430618,3.736875
883874c069fffff,36.446765,3.730462
883874c06bfffff,36.445295,3.740538
883874c06dfffff,36.440161,3.723595
883874c087fffff,36.423941,3.834443
883874c097fffff,36.427579,3.861488
883874c0a3fffff,36.40926,3.830764
883874c0a5fffff,36.404139,3.813809
883874c0a7fffff,36.40266,3.823886
883874c0abfffff,36.417341,3.827564
883874c0b1fffff,36.41438,3.847723
883874c0b3fffff,36.412897,3.857803
883874c0b5fffff,36.407779,3.840842
883874c0b7fffff,36.406298,3.850922
883874c0b9fffff,36.422461,3.844524
883874c0bbfffff,36.420979,3.854605
883874c0bdfffff,36.415861,3.837643
883874c0e1fffff,36.428377,3.804205
883874c0e5fffff,36.421775,3.797329
883874c0e7fffff,36.420298,3.807407
883874c0edfffff,36.429853,3.794127
883874c101fffff,36.396129,3.712621
883874c105fffff,36.389525,3.705759
883874c109fffff,36.404203,3.709414
883874c10dfffff,36.397599,3.702553
883874c111fffff,36.39979,3.739624
883874c119fffff,36.407865,3.736419
883874c11bfffff,36.406393,3.746491
883874c11dfffff,36.401262,3.729554
883874c147fffff,36.405672,3.699345
883874c153fffff,36.41594,3.733214
883874c157fffff,36.409337,3.726348
883874c15bfffff,36.424014,3.730008
883874c163fffff,36.390995,3.695692
883874c16bfffff,36.399068,3.692485
883874c185fffff,36.379211,3.776244
883874c187fffff,36.377734,3.786316
883874c191fffff,36.389458,3.810134
883874c193fffff,36.387978,3.820209
883874c199fffff,36.397538,3.806934
